FOLIO,VIV_SEL,HOGAR,N_REN,P3_1_1,P3_1_2,P3_2,P3_3,P3_4,P3_5
3194,1,1,2,8,4,5,2,2,1
3195,2,1,1,8,4,6,2,2,1
3196,3,1,2,3,3,6,2,2,1
3197,4,1,5,8,5,6,2,2,1
3198,5,1,3,0,0,4,2,1,6
3199,1,1,1,3,3,6,2,2,1
3200,2,1,3,6,2,6,2,2,1
3201,3,1,2,8,4,1,2,2,1
3202,4,1,2,8,5,1,2,2,1
3203,5,1,2,8,4,1,2,2,1
3204,1,1,3,6,3,6,2,2,1
3205,2,1,1,8,4,5,2,2,1
3206,3,1,1,8,4,5,2,2,1
3207,4,1,1,6,3,6,2,2,1
3208,5,1,2,7,3,5,2,1,1
3209,1,1,1,3,3,4,2,1,6
3210,3,1,4,8,3,6,2,2,4
3211,4,1,1,8,5,5,2,1,1
3212,5,1,1,8,4,5,2,2,1
3213,1,1,2,8,4,1,2,1,1
3214,2,1,3,8,3,6,2,2,1
3215,3,1,2,3,3,6,2,2,1
3216,4,1,1,2,6,5,2,2,8
3217,5,1,1,3,3,2,2,1,8
3218,1,1,1,6,3,5,2,2,1
3219,2,1,1,9,2,2,2,2,1
3220,3,1,1,9,2,5,2,2,8
3221,4,1,1,2,6,5,2,1,5
3222,1,1,1,6,3,5,2,2,1
3223,2,1,2,3,3,5,2,1,8
3224,3,1,2,4,3,5,2,2,5
3225,4,1,1,0,0,6,2,1,1
3226,5,1,3,8,3,6,2,2,1
3227,1,1,1,2,6,6,2,2,6
3228,2,1,4,8,5,6,2,2,1
3229,3,1,3,3,2,1,2,2,1
3230,4,1,1,6,3,3,2,2,1
3231,5,1,2,6,3,1,2,1,5
3232,1,1,1,8,4,5,2,2,1
3233,3,1,2,8,4,6,2,2,1
3234,4,1,1,6,2,5,2,2,1
3235,5,1,1,2,6,4,2,1,1
3236,1,1,2,2,6,4,2,1,8
3237,2,1,1,4,2,5,2,2,5
3238,3,1,2,6,3,1,2,2,1
3239,4,1,2,3,3,5,2,2,1
3240,5,1,2,6,3,1,2,2,1
3241,1,1,2,8,4,5,2,2,6
3242,2,1,1,9,2,6,2,2,1
3243,3,1,2,8,4,5,2,2,1
3244,4,1,2,8,5,5,2,2,1
3245,5,1,2,6,2,6,2,2,1
3246,1,1,1,3,3,6,2,2,3
3247,2,1,3,8,2,6,2,2,4
3248,3,1,1,6,2,4,2,2,1
3249,4,1,1,7,3,6,2,2,1
3250,5,1,2,8,4,5,2,2,1
3251,1,1,1,8,5,6,2,2,1
3252,2,1,1,8,4,6,2,2,1
3253,3,1,3,2,6,6,2,1,6
3254,4,1,1,2,6,5,2,2,8
3255,5,1,1,8,4,5,2,2,1
3256,1,1,2,6,3,6,2,2,1
3257,2,1,1,7,3,5,2,2,1
3258,3,1,2,6,3,5,2,2,5
3259,4,1,3,8,4,6,2,2,1
3260,5,1,1,6,3,5,2,2,1
3261,1,1,1,8,4,5,2,2,1
3262,2,1,1,7,3,6,2,2,1
3263,3,1,3,6,2,6,2,2,1
3264,4,1,2,6,3,6,2,2,1
3265,5,1,1,6,3,5,2,2,1
3266,1,1,1,6,3,4,2,2,6
3267,2,1,2,8,2,6,2,2,1
3268,3,1,2,7,3,5,2,2,5
3269,4,1,1,8,5,5,2,2,1
3270,5,1,2,8,4,6,2,2,1
3271,1,1,1,3,3,4,2,1,5
3272,2,1,1,8,4,4,2,1,6
3273,3,1,1,8,2,5,2,2,1
3274,4,1,3,8,5,6,2,2,8
3275,5,1,2,6,3,5,2,2,5
3276,1,1,2,3,3,5,2,2,5
3277,2,1,3,8,2,6,2,2,4
3278,3,1,2,6,3,1,2,2,1
3279,5,1,1,3,3,1,2,1,1
3280,1,1,1,3,2,2,1,2,1
3281,2,1,3,6,3,6,2,2,4
3282,4,1,3,6,2,6,2,1,4
3283,5,1,1,2,6,2,2,2,1
3284,1,1,2,8,2,5,2,2,1
3285,2,1,4,2,6,6,2,2,1
3286,3,1,2,2,6,6,2,2,8
3287,4,1,1,8,5,2,2,2,1
3288,5,1,1,3,3,6,2,2,5
3289,1,1,1,2,1,6,2,1,5
3290,2,1,2,6,1,1,2,1,1
3291,3,1,1,3,3,6,1,2,1
3292,4,1,2,2,1,1,2,2,1
3293,5,1,6,6,3,1,2,2,5
3294,1,1,3,6,3,6,2,1,1
3295,2,1,1,2,6,5,2,2,1
3296,3,1,2,4,3,6,2,2,1
3297,4,1,2,6,3,5,2,2,5
3298,5,1,2,8,4,1,2,1,1
3299,1,1,2,2,3,2,2,1,1
3300,2,1,1,2,6,6,2,2,1
3301,4,1,1,6,3,6,2,2,1
3302,5,1,1,2,6,3,2,1,5
3303,1,1,2,8,4,2,2,2,1
3304,2,1,2,8,2,1,2,2,1
3305,3,1,1,6,1,2,2,2,5
3306,4,1,2,8,3,5,2,2,1
3307,5,1,1,2,2,4,2,1,8
3308,1,1,1,6,3,3,2,2,1
3309,2,1,2,8,4,6,2,2,1
3310,4,1,3,9,2,5,2,2,3
3311,1,1,2,3,3,1,2,1,5
3312,2,1,1,3,3,1,2,2,6
3313,3,1,2,6,3,6,2,2,1
3314,4,1,1,2,6,4,2,1,6
3315,5,1,2,6,3,5,2,1,5
3316,1,1,1,6,3,5,2,2,6
3317,2,1,1,8,4,6,2,2,1
3318,4,1,3,8,4,6,2,2,1
3319,5,1,3,8,3,6,2,2,4
3320,1,1,1,6,3,1,2,1,1
3321,2,1,1,2,3,5,2,2,1
3322,3,1,1,4,3,2,2,2,1
3323,4,1,2,8,4,1,2,2,1
3324,5,1,1,6,2,1,2,2,1
3325,1,1,1,8,5,5,2,1,1
3326,2,1,2,8,4,5,2,2,1
3327,4,1,1,8,4,4,2,1,6
3328,1,1,3,8,3,6,2,2,4
3329,2,1,6,6,3,6,2,2,1
3330,3,1,1,8,3,2,2,1,6
3331,4,1,1,4,3,4,2,1,5
3332,1,1,4,6,3,5,2,2,1
3333,2,1,1,4,2,4,2,1,8
3334,3,1,2,3,3,5,2,2,6
3335,4,1,1,8,4,3,2,2,1
3336,5,1,1,2,6,5,2,1,6
3337,1,1,1,6,3,5,2,2,1
3338,2,1,1,6,3,5,2,2,6
3339,3,1,1,8,4,5,2,2,1
3340,4,1,1,3,2,5,2,1,1
3341,5,1,1,6,3,3,2,2,1
3342,1,1,3,8,3,4,2,2,8
3343,3,1,1,2,6,5,2,2,1
3344,5,1,3,7,3,5,2,2,1
3345,1,1,1,8,4,1,2,2,1
3346,2,1,1,4,3,5,2,2,8
3347,3,1,2,8,5,5,2,2,5
3348,5,1,3,8,4,6,2,2,1
3349,1,1,2,3,3,6,2,2,1
3350,2,1,1,2,6,5,2,2,1
3351,3,1,2,3,3,5,1,2,5
3352,4,1,1,3,3,6,2,2,6
3353,5,1,1,3,3,4,2,2,1
3354,1,1,1,8,5,6,2,2,1
3355,2,1,1,8,4,5,2,2,1
3356,3,1,1,6,3,6,2,2,1
3357,4,1,2,3,3,5,2,2,1
3358,5,1,1,2,1,2,2,1,8
3359,2,1,4,8,5,6,2,2,1
3360,3,1,4,2,6,6,2,2,1
3361,5,1,1,8,5,5,2,2,1
3362,1,1,1,8,5,1,2,2,1
3363,3,1,3,8,3,6,2,2,1
3364,4,1,1,8,4,6,2,2,1
3365,5,1,1,8,4,6,2,2,1
3366,1,1,3,9,3,6,2,2,1
3366,1,2,1,8,3,6,1,1,1
3367,2,1,2,6,3,4,2,2,1
3368,3,1,2,8,4,5,2,2,1
3369,4,1,2,6,3,5,2,2,1
3370,5,1,1,3,3,1,2,2,1
3371,5,1,3,8,1,6,2,2,1
3372,1,1,2,8,4,5,2,2,1
3373,2,1,2,6,3,6,2,1,8
3374,4,1,1,6,3,5,2,2,1
3375,5,1,2,6,3,6,2,2,1
3376,1,1,4,8,3,6,2,2,1
3377,2,1,2,8,4,6,2,2,1
3378,3,1,1,8,4,4,2,2,1
3379,4,1,3,6,2,1,2,1,1
3380,5,1,2,8,4,5,2,2,1
3381,1,1,6,6,2,6,2,1,8
3382,2,1,2,6,3,2,2,2,1
3383,3,1,1,8,4,5,2,2,1
3384,4,1,2,8,2,5,2,2,1
3385,5,1,1,3,1,1,2,2,1
3386,1,1,2,3,2,2,2,2,1
3387,2,1,8,0,0,5,2,1,8
